2025-06-19 13:07:13.913 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.oracle.JournalApp.Service.EmailServiceTest], using SpringBootContextLoader
2025-06-19 13:07:13.926 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.oracle.JournalApp.Service.EmailServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2025-06-19 13:07:13.927 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.oracle.JournalApp.Service.EmailServiceTest]: EmailServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-06-19 13:07:14.161 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.oracle.JournalApp.JournalAppApplication for test class com.oracle.JournalApp.Service.EmailServiceTest
2025-06-19 13:07:14.259 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-06-19 13:07:14.270 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2fea7088, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@40499e4f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@51cd7ffc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@30d4b288, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4cc6fa2a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@40f1be1b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7a791b66, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6f2cb653, org.springframework.test.context.event.EventPublishingTestExecutionListener@14c01636, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@590c73d3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6b9ce1bf, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@61884cb1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@75ed9710, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4fc5e095, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@435871cb]
2025-06-19 13:07:14.643 [main] INFO  c.o.J.Service.EmailServiceTest - Starting EmailServiceTest using Java 17.0.11 on saura-9F7VT34 with PID 15760 (started by Saurabh in C:\Users\Saurabh\Downloads\SpringBoot_Project\JournalApp\JournalApp)
2025-06-19 13:07:14.644 [main] DEBUG c.o.J.Service.EmailServiceTest - Running with Spring Boot v2.7.12, Spring v5.3.27
2025-06-19 13:07:14.644 [main] INFO  c.o.J.Service.EmailServiceTest - The following 1 profile is active: "dev"
2025-06-19 13:07:15.205 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-06-19 13:07:15.252 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43 ms. Found 3 MongoDB repository interfaces.
2025-06-19 13:07:15.727 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.11+7-LTS-207", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='dhandesaurabh2002', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@6963b88c]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.tkppbz1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-xny1eb-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2025-06-19 13:07:15.768 [cluster-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-srv-cluster0.tkppbz1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017 to client view of cluster
2025-06-19 13:07:15.788 [cluster-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-srv-cluster0.tkppbz1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hxfrttw-shard-00-01.tkppbz1.mongodb.net:27017 to client view of cluster
2025-06-19 13:07:15.790 [cluster-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-srv-cluster0.tkppbz1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hxfrttw-shard-00-00.tkppbz1.mongodb.net:27017 to client view of cluster
2025-06-19 13:07:16.051 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@634ca3e7 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hxfrttw-shard-00-01.tkppbz1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hxfrttw-shard-00-00.tkppbz1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
2025-06-19 13:07:16.264 [cluster-rtt-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-ac-hxfrttw-shard-00-01.tkppbz1.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:76326}] to ac-hxfrttw-shard-00-01.tkppbz1.mongodb.net:27017
2025-06-19 13:07:16.264 [cluster-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-ac-hxfrttw-shard-00-01.tkppbz1.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:76326}] to ac-hxfrttw-shard-00-01.tkppbz1.mongodb.net:27017
2025-06-19 13:07:16.264 [cluster-rtt-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-ac-hxfrttw-shard-00-00.tkppbz1.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:73417}] to ac-hxfrttw-shard-00-00.tkppbz1.mongodb.net:27017
2025-06-19 13:07:16.264 [cluster-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-ac-hxfrttw-shard-00-00.tkppbz1.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:73417}] to ac-hxfrttw-shard-00-00.tkppbz1.mongodb.net:27017
2025-06-19 13:07:16.264 [cluster-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:69612}] to ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017
2025-06-19 13:07:16.264 [cluster-rtt-ClusterId{value='6853be2b595ea84e2bfaed5a', description='null'}-ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:69612}] to ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017
