2025-06-25 18:45:14.370 [main] INFO  c.o.JournalApp.JournalAppApplication - Starting JournalAppApplication using Java 17.0.11 on saura-9F7VT34 with PID 22992 (C:\Users\Saurabh\Downloads\SpringBoot_Project\JournalApp\JournalApp\target\classes started by Saurabh in C:\Users\Saurabh\Downloads\SpringBoot_Project\JournalApp)
2025-06-25 18:45:14.381 [main] DEBUG c.o.JournalApp.JournalAppApplication - Running with Spring Boot v2.7.12, Spring v5.3.27
2025-06-25 18:45:14.383 [main] INFO  c.o.JournalApp.JournalAppApplication - The following 1 profile is active: "dev"
2025-06-25 18:45:15.119 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-06-25 18:45:15.201 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 74 ms. Found 3 MongoDB repository interfaces.
2025-06-25 18:45:15.847 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-06-25 18:45:15.855 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-06-25 18:45:15.856 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-25 18:45:15.856 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
2025-06-25 18:45:15.969 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-25 18:45:15.970 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1517 ms
